u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
5698778333,2634652657,0,258037478,False,,service,True,9.511,,"LINESTRING (105.8210566 21.0389173, 105.8210733 21.0390014)",alley,
5704430358,10302026194,0,98837093,True,Đường Văn Cao,primary,False,191.419,2,"LINESTRING (105.8159255 21.0404962, 105.8154153 21.0388419)",,
5704430358,10302026167,0,599651132,False,,service,True,9.972,,"LINESTRING (105.8159255 21.0404962, 105.8158323 21.040518)",,
5704430359,5709910414,0,599651132,False,,service,False,107.274,,"LINESTRING (105.8141836 21.0409353, 105.8151778 21.0406713)",,
5704430359,5704430360,0,599651132,False,,service,True,12.913,,"LINESTRING (105.8141836 21.0409353, 105.8140844 21.0408652)",,
5704430359,5709910375,0,600485177,False,,service,False,34.883,,"LINESTRING (105.8141836 21.0409353, 105.814248 21.0412432)",,
5704430360,5704430359,0,599651132,False,,service,False,12.913,,"LINESTRING (105.8140844 21.0408652, 105.8141836 21.0409353)",,
5704430360,8341291588,0,599651132,False,,service,True,35.642,,"LINESTRING (105.8140844 21.0408652, 105.8138537 21.0408577, 105.8137667 21.0409244)",,
5704430360,5709910414,0,"[600485196, 600485197, 600485198]",False,,service,True,314.343,,"LINESTRING (105.8140844 21.0408652, 105.8138819 21.0402519, 105.8138685 21.0401255, 105.813898 21.0400516, 105.8139624 21.0399765, 105.8140294 21.0399289, 105.8141541 21.0398376, 105.8143223 21.0397715, 105.8145537 21.0397262, 105.8147496 21.0397086, 105.8148515 21.0397487, 105.8149373 21.0398613, 105.8151778 21.0406713)",,
5704430363,317129397,0,11838073,False,Phố Đốc Ngữ,residential,False,56.236999999999995,,"LINESTRING (105.8136201 21.0411945, 105.8136318 21.0411981, 105.8140445 21.0415078)",,
5704430363,309818668,0,11838073,False,Phố Đốc Ngữ,residential,True,75.31700000000001,,"LINESTRING (105.8136201 21.0411945, 105.8131563 21.0410529, 105.8130603 21.0408499)",,
5704430363,8341291588,0,599651132,False,,service,False,34.608000000000004,,"LINESTRING (105.8136201 21.0411945, 105.8137035 21.0409729, 105.8137667 21.0409244)",,
5704430370,5704430385,0,599651147,False,Ngõ 6,residential,True,51.398,,"LINESTRING (105.8147308 21.0417188, 105.8147013 21.0415962, 105.8146504 21.0414986, 105.8144676 21.0413473)",,
5704430385,317129397,0,157255613,False,Phố Quần Ngựa,residential,True,47.398,,"LINESTRING (105.8144676 21.0413473, 105.8140445 21.0415078)",,
5704430385,5721492763,0,157255613,False,Phố Quần Ngựa,residential,False,79.667,,"LINESTRING (105.8144676 21.0413473, 105.81494 21.0412557, 105.8152196 21.0412034)",,
5704430385,5704430370,0,599651147,False,Ngõ 6,residential,False,51.398,,"LINESTRING (105.8144676 21.0413473, 105.8146504 21.0414986, 105.8147013 21.0415962, 105.8147308 21.0417188)",,
5709910375,5704430359,0,600485177,False,,service,True,34.883,,"LINESTRING (105.814248 21.0412432, 105.8141836 21.0409353)",,
5709910376,5709910401,0,600485178,False,,residential,True,43.008,,"LINESTRING (105.8147684 21.0382266, 105.814354 21.0382254)",,
5709910379,8299505953,0,11838073,False,Phố Đốc Ngữ,residential,True,40.501,,"LINESTRING (105.8129211 21.0398938, 105.8128734 21.0395323)",,
5709910379,309818668,0,11838073,False,Phố Đốc Ngữ,residential,False,107.294,,"LINESTRING (105.8129211 21.0398938, 105.8129584 21.0401768, 105.8130603 21.0408499)",,
5709910399,445253739,0,11838073,False,Phố Đốc Ngữ,residential,True,26.09,,"LINESTRING (105.8127984 21.0389505, 105.8127707 21.0387173)",,
5709910399,8299505955,0,11838073,False,Phố Đốc Ngữ,residential,False,36.211,,"LINESTRING (105.8127984 21.0389505, 105.8128154 21.0390931, 105.8128393 21.0392739)",,
5709910401,5709910376,0,600485178,False,,residential,False,43.008,,"LINESTRING (105.814354 21.0382254, 105.8147684 21.0382266)",,
5709910401,5709910403,0,600485192,False,,residential,True,19.571,,"LINESTRING (105.814354 21.0382254, 105.8143302 21.0380508)",,
5709910401,8299505971,0,"[600485192, 892981894]",False,,residential,"[False, True]",87.959,,"LINESTRING (105.814354 21.0382254, 105.8143674 21.038646, 105.8143781 21.0388262, 105.8141752 21.0388385)",,
5709910403,5709910401,0,600485192,False,,residential,False,19.571,,"LINESTRING (105.8143302 21.0380508, 105.814354 21.0382254)",,
5709910403,5709910407,0,"[600485194, 600485195]",False,,residential,False,42.528,,"LINESTRING (105.8143302 21.0380508, 105.8143875 21.0380489, 105.8144492 21.0380389, 105.8147362 21.0380013)",,
5709910403,5709910406,0,600485195,False,,residential,True,43.576,,"LINESTRING (105.8143302 21.0380508, 105.8141407 21.0380689, 105.8139718 21.0380739, 105.8139208 21.0380437)",,
5709910404,8299505973,0,600485193,False,,residential,True,18.491,,"LINESTRING (105.8139061 21.0390214, 105.8139001 21.0388552)",,
